Author;Date;Region;Sentence;Traductions
Brunetto Latini;1260-61;fior.;Altressì uno amante chiamando merzé alla sua donna dice parole e ragioni molte, et ella si difende in suo dire.;Allo stesso modo, un amante, chiamando “mercede” la sua donna, le rivolge molte parole e ragioni per convincerla, mentre lei si difende rispondendo con le sue argomentazioni.
Arte Am. Ovid. (B);1310/13;fior.;Io mi ricordo (ch. 347) che essendo adirato scapigliai la mia donna. Ohi, quanti dì questa ira mi tolse!;Ricordo che, quando ero arrabbiato, ho scompigliato i capelli della mia donna. Quanto tempo questa rabbia mi ha tormentato!
Rim. Am. Ovid. (B);1310/13;fior.;"colui del quale tu tti solevi dolere ch' era amante della tua donna;";Quello di cui ti lamentavi spesso, che era l’amante della tua donna.
Fatti de' Romani (H+R);1313;fior.;Ma no sapeano già le nomora di coloro dela congiurazione, ché la donna no nominava già li nomi.;Ma non conoscevano ancora i nomi di quelli coinvolti nella congiura, perché la donna non li diceva.
Ceffi;1325;fior.;"Creti?  Certo quand'elli si mosse, elli ti dixe: ""O fedele mia donna, fa' che in mio luogo ti sia racomandato il nostro hoste troiano"".";Capisci? Quando partì, ti disse: “Mia fedele donna, ti prego di affidarti al nostro ospite troiano per mio conto”.
Valerio Massimo (red. V1;1336;fior.;A Milano fue ripressa la malvagità d' una donna in simile bugìa, nel tempo medesimo di questo signore della republica, in questo modo: ;A Milano fu scoperta la malvagità di una donna con una menzogna simile, proprio nel periodo in cui governava questo signore della repubblica, in questo modo:
Filippo da Santa Croce;1323;tosc.;E lamentavansi dell'iniquità d'Appio, e ripiagnevano la malavventurata beltà della pulcella e la necessità del padre.;Si lamentavano dell’ingiustizia di Appio e piangevano per la sfortunata bellezza della ragazza e per la condizione del padre.
Brunetto Latini;1294;fior.;Nella quale battaglia, certo io ebbi sempre ardire di ragionare di pace e sempre mi dolfi che non solamente la pace era schifata,;In quella battaglia, ebbi sempre il coraggio di parlare di pace, ma mi rammaricavo che la pace non fosse solo disprezzata.
Bart. da San Concordio;1313;tosc.;la seconda suole talora per la grande provedenzia fare timoroso, e la prima per l'ardire rendere altrui matto.;La seconda, per la grande prudenza, rende a volte timorosi, mentre la prima, per l’audacia, fa impazzire gli altri.
Valerio Massimo (red. V1;1336;fior.;Andò nel campo de' Cartaginesi e tutta la legione trasse seco.;Andò nel campo dei Cartaginesi e portò con sé tutta la legione.
Zanobi da Strada;1361;tosc.;Non lo volle cognoscere per nimico. Qesta è quella, la quale diede ardire al profeta Natan a riprendere con grande autoritade quello re, il quale avea peccato.;Non volle riconoscerlo come nemico. Questa è colei che diede coraggio al profeta Natan per rimproverare con grande autorità quel re che aveva peccato.
Frontino volg.;1381;bologn.;l'armi et insieme con loro passaseno tra li nimici, perçò se alcuno non avesse ardire de questo et sì avevano questo animo.;"L'esercito, insieme a loro, passò tra i nemici; infatti, se qualcuno non avesse avuto coraggio, loro ce l’avevano."
Giovanni da San Miniato;1415;tosc.;"Unde ragionevolemente Iob è interpretato dolente;";Per questo motivo, Iob viene interpretato come colui che soffre.
Filippo da Santa Croce;1323;tosc.;"quello che sopra tutti gli altri perdonasse a' cittadini, e a cui più sicuramente possiate credere; poi ch'egli fu vostro comandatore.";"Colui che perdonava più di tutti i cittadini, e a cui potete credere con certezza; dopo tutto, fu il vostro comandante."
Zanobi da Strada;1361;tosc.;in vano si domanda chi questo Libro scrivesse, con ciò sia cosa che fedelmente si debba credere che l'Auttore di quello fusse lo Spirito santo.;È inutile chiedersi chi abbia scritto questo libro, si deve credere con fede che l’autore sia lo Spirito Santo.
Agostino da Scarperia (?);1390;tosc.;se non fosse usatissima, ciò parrebbe certo molto più incredibile: certo più agevolmente si può credere quello, posto che l'umano spirito al divino, ed il mutabile allo incommutabile;"Se non fosse così comune, sarebbe molto più incredibile; è più facile credere a questo, dato che lo spirito umano può rivolgersi a quello divino, e ciò che cambia a ciò che è immutabile."
Brunetto Latini;1260-61;fior.;che prendessero la paga dal camarlingo per loro dispensa et immantenente andassero alla presenzia di messer lo papa per contradiare il passamento de' cavalieri che veniano di Cecilia in Toscana;Che prendessero la paga dal camerlingo per la loro dispensa e subito si recassero alla presenza di messer il papa per bloccare il passaggio dei cavalieri provenienti da Cecilia in Toscana.
Bonsignori;1375-77;umbr.-tosc.;"Teseo reguardò Achelao fortemente meravigliandose e disse così: ""O messer Achelao, io vi prego che voi me diciate in che modo voi perdeste";Teseo guardò Achelao con grande stupore e disse: «O messer Achelao, vi prego di raccontarmi come avete perso…»
Giovanni da San Miniato;1415;tosc.;Io spero in messer Iesù di mandare tosto a voi Timoteo, acciocché io sia d'animo buono;Spero in messer Gesù di mandare presto a voi Timoteo, così da poter avere buon animo.
Brunetto Latini;1260-61;fior.;sanza fallo lo porco salvatico avanza l' uomo d' udire e 'l lupo cerviere del vedere;Senza errore, il cinghiale selvatico supera l’uomo nell’udito e il lupo nella vista.
Bono Giamboni;1292;fior.;"uno luogo si mandano lancioni;  la quale cosa i cavalieri l' appellano capo di porco";"In un luogo si mandano i lancioni; questa cosa i cavalieri chiamano “capo di porco”."
Arte Am. Ovid. (B);1310/13;fior.;tenda le reti a li cerbi e sa bene in quali valle dimori il furioso porco cinghiare.;Tende le reti ai cervi e conosce bene in quali valli dimora il furioso cinghiale.
Rim. Am. Ovid. (B);1310/13;fior.;Ora spaventerai li disidirosi cervi con varie e diverse paure, o lo porco cenghiare caggia in terra passato collo spiedo.;Ora spaventerai i cervi bramosi con paure diverse e varie, oppure il cinghiale cadrà a terra trafitto dallo spiedo.
Brunetto Latini;1260-61;fior.;tratta la natura delle cose incorporali le quali non conversano intra lle corpora, sì come Dio e le divine cose.;Tratta la natura delle cose incorporee, che non convivono con i corpi, come Dio e le cose divine.
Bono Giamboni;1292;fior.;Dio, per la quale si dispensano et iudicano tutte le cose.;Dio, grazie al quale tutte le cose sono governate e giudicate.
Bonsignori;1375-77;umbr.-tosc.;Unde gli poeti, parlando de lloro, dicono le virtute loro e dicono fabolosamente gli loro difetti, quando alcuna passava l'ordine a lloro deputato;Per questo i poeti, parlando di loro, ne lodano le virtù e raccontano in forma favolosa i loro difetti, quando qualcuno di loro superava i limiti stabiliti.
Giovanni dalle Celle (?);1396;tosc.;e quella cosa, la quale è diricta et onesta, e con virtute, quella sola penso essere lo bene.;E considero bene solo ciò che è dritto, onesto e fatto con virtù.
Fatti de' Romani (H+R);1313;fior.;Quando li serpenti invellenava di giorno alcuno Romano, allora iera la maraviglia a vedere come li Psille si combattevano al veleno, ché elli imolavano tutto inazzi della loro salive;Quando i serpenti avvelenavano un cittadino romano di giorno, era straordinario vedere come i Psilli affrontavano il veleno: lo neutralizzavano completamente con la loro saliva.
Chiose a Rim. Am. (B);-1310;fior.;Dice il poeta: oh, che bella cosa è vedere apertamente con gli occhi quando tu glel fai diretro o in culo o in altro;Dice il poeta: oh, che bella cosa è vedere chiaramente con i propri occhi quando lo metti alle strette, anche in modo umiliante o in situazioni imbarazzanti.
Cavalca;1330;tosc.;ma pur questo fu colpa tua, però che volesti cercare di vedere con gli occhi corporali la cosa invisibile.;Ma è stata comunque colpa tua, perché hai voluto vedere con gli occhi ciò che è invisibile.
Brunetto Latini;1260-61;fior.;Vero è, ma non tine rispondo in questo tempo, perciò che ttu se' mio servo, o perciò ch' è tempo feriato, o perciò ch' io non debbo risponderti;È vero, ma ora non ti rispondo, perché sei mio servo, oppure perché è giorno festivo, o perché non è il momento opportuno.
Fatti de' Romani (H+R);1313;fior.;sì convene che lli desse grande avere perché · lasciasse andare via.;Era necessario dargli una grossa somma di denaro perché lo lasciasse andare via.
Filippo da Santa Croce;1323;tosc.;notabile esemplo a ciascuno che si guardasse di fare e di pensar tradigione, il servo, il quale gli avea accusati, fu francato, e fugli donata grande quantità di moneta;Un esempio notevole per chiunque voglia guardarsi dal compiere o anche solo pensare a un tradimento: il servo che li aveva denunciati fu liberato e ricevette una grande quantità di denaro.
Valerio Massimo (red. Va);1336;tosc.;che sarebbe a llui cosa sconcia se ll'avesse commesso sì che lla colpa del servo e 'l gastigamento di Platone avesse meritato egualmente.;Sarebbe stato vergognoso se lo avesse fatto, al punto che la colpa del servo e la punizione di Platone sarebbero sembrate uguali.
Valerio Massimo (red. V1;1336;fior.;"mostroe massimamente le forze sue, dando lui re a questa cittade ne la quale nacque servo; al quale avvenne lunghissimamente lo imperio tenere";"Dimostrò pienamente il suo valore, diventando re proprio nella città dove era nato come servo; e lì regnò a lungo."
Brunetto Latini;1260-61;fior.;l' anima muta la sua forza per la propietade di quello corpo a cui ella si congiunge.;L'anima cambia la sua forza in base alla natura del corpo a cui si unisce.
Cavalca;1308;tosc.;sono due già non in una carne, ma in uno spirito, cioè Iddio, e l' anima. Onde in altro luogo dice S. Paolo: Chi s' accosta a Dio è uno spirito;Sono due entità non unite nella carne ma nello spirito: Dio e l'anima. Perciò, dice San Paolo: chi si avvicina a Dio è un solo spirito con Lui.
Fatti de' Romani (H+R);1313;fior.;per tanto che Lucano il disse, il vi racontiamo. Ivi, quando l'anima di Pompeo ebe sentito la chiarità di lasusso, ella sì cognobe prima in  grande;Poiché lo disse Lucano, ve lo raccontiamo. Là, quando l'anima di Pompeo sentì la luce di lassù, riconobbe chiaramente la grandezza.
Bono Giamboni;1292;fior.;Sicchè dolore è a udire, quando l' usare l' arme e la fatica ricusano, con grandissimo disonore come pecore essere;È doloroso sentire che si rifiutino le armi e la fatica, preferendo essere come pecore, con grandissimo disonore.
Bono Giamboni;1292;fior.;et nonn ebbe in fastido Cristo cotali parole d'udire.;Cristo non disdegnò di ascoltare simili parole.
Prima catilinaria volg. (red. A);1294;fior.;la moltitudine de' quali tu ài potuto vedere e riguardare lo studio e poco dinanzi udire le voci, e lle cui mani e lance apena posso ritenere.;"Di questa moltitudine tu hai potuto vedere l'impegno e, poco prima, sentire le voci; e riesco a stento a trattenere le loro mani e le lance."
T. Alderotti (?);1295;fior.;udire di belle novelle et odorare di belli fiori, come et quando et quanto si conviene;Ascoltare belle storie e annusare bei fiori, nei tempi e nei modi giusti.
Filippo da Santa Croce;1323;tosc.;Il re entrò in uno giardino dietro al suo albergo, quasi come s'egli andasse pensando alla risposta.;Il re entrò in un giardino dietro il suo alloggio, come se stesse riflettendo sulla risposta.
Ceffi;1325;fior.;Ma io disioso colà dove io non posso col corpo andare, con la mente vi volo;Ma io, desideroso di quello che non posso raggiungere con il corpo, ci vado con la mente.
Guido da Pisa;1337;tosc.;Ed ecco di subito tutta questa turba degli uccelli si levò a volo dietro all'aquila;Ed ecco che improvvisamente tutta quella schiera di uccelli si mise in volo dietro l’aquila.
Grazia di Meo;1343;tosc.;Vede anche le ragioni del volo degli uccielli e di tutte le cose sa rendere vero giudicio.;Osserva anche il motivo per cui volano gli uccelli e sa giudicare con verità tutte le cose.
Zanobi da Strada;1361;tosc.;Or ecco quanto per la sua superbia questo uccello volava in alto.;Ed ecco quanto, per superbia, quest’uccello volava in alto.
Bonsignori;1375-77;umbr.-tosc.;"Gorgone, e ho questa proprietà che io volo per l'aire sì come uno ucello"".";Gorgone, e ho questa capacità: volo nell’aria come un uccello.
Bono Giamboni;1292;fior.;quando nella matricola si scrivono giurano per Dio, e per Cristo, e per lo Spirito Santo;Quando si iscrivono al registro, giurano per Dio, per Cristo e per lo Spirito Santo.
Bono Giamboni;1292;fior.;per necessitade i' ridico ke, secondo il comandamento tuo, padre santo Agostino, le battaglie già state nel mondo [..];Per necessità, ripeto secondo il tuo comando, santo padre Agostino, le battaglie già avvenute nel mondo…
Brunetto Latini;1294;fior.;"molto di maggiore memoria saranno faccendole al re, perciò che nella nostra cittade sempre fue santo e glorioso il nome reale, e sse furono compagni fue il loro nome santissimo;";"Saranno molto più memorabili se fatte in onore del re, perché nella nostra città il nome reale è sempre stato santo e glorioso; e se furono suoi compagni, il loro nome fu santissimo."
Cavalca;1308;tosc.;Non voglio, che insuperbischi per lo santo proposito, e voto della verginità vedendo le sue laudi;Non voglio che tu diventi superbo per il santo proposito e il voto di verginità vedendo le sue lodi.
Fatti de' Romani (H+R);1313;fior.;"Santo Agostino fece un libro ch'avea nome ""Agostino Della Città di Dio"".";"Sant'Agostino scrisse un libro chiamato ""La Città di Dio""."
Cavalca;1330;tosc.;"Gregorio. Non udii mai che egli avesse maestro; ma il dono dello Spirito Santo non si può stringere a legge.";"Gregorio. Non ho mai sentito che avesse un maestro; ma il dono dello Spirito Santo non si può limitare a una legge."
Brunetto Latini;1260-61;fior.;Verbigrazia: Mercatanti fiorentini passavano in nave per andare oltramare.;Ad esempio: dei mercanti fiorentini viaggiavano in nave per andare oltremare.
Bono Giamboni;1292;fior.;Quando averai nel cavaliere i detti segni veduti non andare a grandezza caendo, perchè nelle battaglie sono più utili i forti che i grandi.;Quando vedrai in un cavaliere questi segni, non puntare solo sulla grandezza: perché in battaglia sono più utili i forti che i potenti.
Bono Giamboni;1292;fior.;e, cosa che anche è più grave, cioè essere preso, o vero fuggire, e suo Comune lasciare vincere.;E, cosa ancora più grave, essere catturati o costretti a fuggire, lasciando che il proprio Comune venga sconfitto.
Filippo da Santa Croce;1323;tosc.;Sappiate veramente, che se noi non ci fossimo sì affrettati del fuggire, noi saremmo tutti morti.;Sappiate davvero che, se non ci fossimo affrettati a scappare, saremmo stati tutti uccisi.
Deca quarta;1346;fior.;Tarco cretense che in aiuto era alli nimici avrebbe potuto fuggire, ma la vergogna d'abbandonare li nobilissimi cavalieri della gente achea poco avanti da lui;Tarco, cretese che si era schierato con i nemici, avrebbe potuto fuggire, ma si vergognò di abbandonare i nobilissimi cavalieri greci che erano poco davanti.
Brunetto Latini;1260-61;fior.;e l' acconciamento a fare grandissime cose, cioè a ttenere pace et amare Idio e 'l proximo, a ffare cittadi, castella e magioni;L'essere pronti a compiere grandi imprese significa mantenere la pace, amare Dio e il prossimo, e fondare città, castelli e dimore.
Giovanni da San Miniato;1415;tosc.;colui che ancora non sa amare il prossimo come sé medesimo già cominci a temere i giudicii di Dio. ;Chi ancora non sa amare il prossimo come sé stesso, cominci almeno ad avere timore del giudizio di Dio.
Arte Am. Ovid. (B);1310/13;fior.;L'ucello, poi che hae impaniate le ali, non fugge salvamente, né llo porco salvatico esce bene delle reti ove cade.;Quando l'uccello ha le ali impigliate, non può mettersi in salvo, e nemmeno il cinghiale selvatico riesce a liberarsi dalle reti in cui è caduto.
Cavalca;1308;tosc.;Io gli apersi, e quelli fuggitte. E che bisogno è, che lo cuore tuo stia chiuso al tuo sposo Cristo?;Io gli aprii, ed essi fuggirono. E perché mai il tuo cuore dovrebbe restare chiuso al tuo sposo, Cristo?
Prima catilinaria volg. (red. A);1294;fior.;E dunque, da che queste cose son così, Catellina, e tu non puoi buonamente qui dimorare, dubiti tu d'andartene in alcuna terra ed usare questa vita fuggendo per li diserti;Dunque, visto che le cose stanno così, Catilina, e che non puoi più restare qui degnamente, temi forse di andare altrove e condurre questa tua vita fuggendo nei luoghi desolati?
Chiose a Valerio Massimo (D - L. I-V);1346;tosc.;Questi due, volendo contra la voglia del senato dimorare ne l'ufficio del tribunato, furono morti da la plebe, incitandola i padri coscritti.;Questi due, volendo rimanere nel ruolo di tribuni contro la volontà del senato, furono uccisi dalla plebe, istigata dai senatori.
Bono Giamboni;1292;fior.;i giovani, a cui il difendimento delle provincie, e la ventura di tutta la battaglia si commette;I giovani, a cui era affidata la difesa delle province e la sorte dell’intera battaglia.
Bono Giamboni;1292;fior.;"da' monti de' Romani si feciero nuovi nemici; contra i quali è conbactuto cum diversa ventura: perké nela primaia battaglia, essendo consolo Valerio, MMMD ne moriro de' Romani;";Dai monti romani emersero nuovi nemici, contro cui si combatté con esiti alterni: nella prima battaglia, sotto il consolato di Valerio, morirono tremila romani.
Fatti de' Romani (H+R);1313;fior.;noi iscaciati e dipartiti per debito dela cittade, e tutti iscaciati da fama e da ventura buona.;Noi fummo esiliati e costretti ad allontanarci per il bene della città, e cacciati dalla gloria e dalla buona sorte.
Simintendi;1333;tosc.;"pregaste gli dei per me; e' vostri preghieri valsono: e se voi domandate chi ebbe ventura di questa battaglia; io non fui vinto da colui.";"Pregaste gli dèi per me; le vostre preghiere furono efficaci: e se mi chiedete chi ebbe la meglio in quella battaglia, io non fui sconfitto da lui."
Valerio Massimo (red. V1;1336;fior.;una villa chiamata Vitermina, con ciò fosse cosa che piusori principi di scherani corressero per ventura a quel tempo a vederlo, Scipione, stimando che venissero per isforzarlo, allogò ne la casa;Una villa chiamata Vitermina, dove alcuni nobili briganti accorsero per caso a vedere Scipione,  credendo che venissero a rapirlo, si rifugiò in casa.
Brunetto Latini;1260-61;fior.;contra lui e contra le sue sorelle  e contra il reame e contra l' alto pregio della sua ingenerazione e della sua familia;Contro di lui, le sue sorelle, il regno, e l'onore della sua nobile discendenza e la famiglia.
Fatti de' Romani (H+R);1313;fior.;Allora che il navilio si fue impinto e messo in alto mare per andare diritto per mezo questo trapasso periglioso, l'aira divenne nuvolosa e pioveginosa;Quando la nave fu spinta in alto mare per attraversare quel passaggio pericoloso, il cielo divenne nuvoloso e iniziò a piovere.
Filippo da Santa Croce;1323;tosc.;ne salìo in su l'argine del fosso, e in su lo steccato, se da alto si potessero difendere, o per alcuna maniera passare oltre e scampare.;Salirono sull’argine e sulle palizzate, per difendersi dall’alto o, in qualche modo, riuscire a passare oltre e salvarsi.
Alberto della Piagentina;1330/32;fior.;Ma l' occhio della intelligenza è più alto. Perciò che, passata la grandezza della universitade, quella medesima semplice forma vede nella sottil vista;Ma l’occhio dell’intelligenza guarda ancora più in alto. Perché, oltre la vastità dell’universo, con uno sguardo fine riesce a vedere quella forma semplice.
