source,target
Li occhi porta la mia donna sovra lor gloria.,La mia donna porta negli occhi la loro gloria.
Deh peregrini che pensosi andate.,Oh pellegrini che camminate pensierosi.
L’alma s’affligge e non trova conforto.,L’anima si affligge e non trova consolazione.
Io fui per lungo tempo sanza vedere li belli occhi vostri.,Sono stato per molto tempo senza vedere i vostri begli occhi.
Non era l’impresa da pigliarsi a gabbo.,Non era un'impresa da prendere alla leggera.
Però che più non si muova la penna.,Perché la penna non si muova più.
E’ mi par che ‘l tempo si rincorra.,E mi sembra che il tempo corra veloce.
Veggio l’onore che non perde mai.,Vedo l'onore che non svanisce mai.
A ciò che l’animo mio s’acqueti.,Affinché il mio animo trovi pace.
Or sì che tu se’ quel Virgilio e quella fonte.,Allora tu sei proprio Virgilio e quella fonte di saggezza.
Li occhi porta la mia donna sovra lor gloria.,La mia donna porta negli occhi la loro gloria.
Deh peregrini che pensosi andate.,Oh pellegrini che camminate pensierosi.
L’alma s’affligge e non trova conforto.,L’anima si affligge e non trova consolazione.
Io fui per lungo tempo sanza vedere li belli occhi vostri.,Sono stato per molto tempo senza vedere i vostri begli occhi.
Non era l’impresa da pigliarsi a gabbo.,Non era un'impresa da prendere alla leggera.
Però che più non si muova la penna.,Perché la penna non si muova più.
E’ mi par che ‘l tempo si rincorra.,E mi sembra che il tempo corra veloce.
Veggio l’onore che non perde mai.,Vedo l'onore che non svanisce mai.
A ciò che l’animo mio s’acqueti.,Affinché il mio animo trovi pace.
Or sì che tu se’ quel Virgilio e quella fonte.,Allora tu sei proprio Virgilio e quella fonte di saggezza.
Li occhi porta la mia donna sovra lor gloria.,La mia donna porta negli occhi la loro gloria.
Deh peregrini che pensosi andate.,Oh pellegrini che camminate pensierosi.
L’alma s’affligge e non trova conforto.,L’anima si affligge e non trova consolazione.
Io fui per lungo tempo sanza vedere li belli occhi vostri.,Sono stato per molto tempo senza vedere i vostri begli occhi.
Non era l’impresa da pigliarsi a gabbo.,Non era un'impresa da prendere alla leggera.
Però che più non si muova la penna.,Perché la penna non si muova più.
E’ mi par che ‘l tempo si rincorra.,E mi sembra che il tempo corra veloce.
Veggio l’onore che non perde mai.,Vedo l'onore che non svanisce mai.
A ciò che l’animo mio s’acqueti.,Affinché il mio animo trovi pace.
Or sì che tu se’ quel Virgilio e quella fonte.,Allora tu sei proprio Virgilio e quella fonte di saggezza.
Li occhi porta la mia donna sovra lor gloria.,La mia donna porta negli occhi la loro gloria.
Deh peregrini che pensosi andate.,Oh pellegrini che camminate pensierosi.
L’alma s’affligge e non trova conforto.,L’anima si affligge e non trova consolazione.
Io fui per lungo tempo sanza vedere li belli occhi vostri.,Sono stato per molto tempo senza vedere i vostri begli occhi.
Non era l’impresa da pigliarsi a gabbo.,Non era un'impresa da prendere alla leggera.
Però che più non si muova la penna.,Perché la penna non si muova più.
E’ mi par che ‘l tempo si rincorra.,E mi sembra che il tempo corra veloce.
Veggio l’onore che non perde mai.,Vedo l'onore che non svanisce mai.
A ciò che l’animo mio s’acqueti.,Affinché il mio animo trovi pace.
Or sì che tu se’ quel Virgilio e quella fonte.,Allora tu sei proprio Virgilio e quella fonte di saggezza.
Li occhi porta la mia donna sovra lor gloria.,La mia donna porta negli occhi la loro gloria.
Deh peregrini che pensosi andate.,Oh pellegrini che camminate pensierosi.
L’alma s’affligge e non trova conforto.,L’anima si affligge e non trova consolazione.
Io fui per lungo tempo sanza vedere li belli occhi vostri.,Sono stato per molto tempo senza vedere i vostri begli occhi.
Non era l’impresa da pigliarsi a gabbo.,Non era un'impresa da prendere alla leggera.
Però che più non si muova la penna.,Perché la penna non si muova più.
E’ mi par che ‘l tempo si rincorra.,E mi sembra che il tempo corra veloce.
Veggio l’onore che non perde mai.,Vedo l'onore che non svanisce mai.
A ciò che l’animo mio s’acqueti.,Affinché il mio animo trovi pace.
Or sì che tu se’ quel Virgilio e quella fonte.,Allora tu sei proprio Virgilio e quella fonte di saggezza.
Li occhi porta la mia donna sovra lor gloria.,La mia donna porta negli occhi la loro gloria.
Deh peregrini che pensosi andate.,Oh pellegrini che camminate pensierosi.
L’alma s’affligge e non trova conforto.,L’anima si affligge e non trova consolazione.
Io fui per lungo tempo sanza vedere li belli occhi vostri.,Sono stato per molto tempo senza vedere i vostri begli occhi.
Non era l’impresa da pigliarsi a gabbo.,Non era un'impresa da prendere alla leggera.
Però che più non si muova la penna.,Perché la penna non si muova più.
E’ mi par che ‘l tempo si rincorra.,E mi sembra che il tempo corra veloce.
Veggio l’onore che non perde mai.,Vedo l'onore che non svanisce mai.
A ciò che l’animo mio s’acqueti.,Affinché il mio animo trovi pace.
Or sì che tu se’ quel Virgilio e quella fonte.,Allora tu sei proprio Virgilio e quella fonte di saggezza.
Li occhi porta la mia donna sovra lor gloria.,La mia donna porta negli occhi la loro gloria.
Deh peregrini che pensosi andate.,Oh pellegrini che camminate pensierosi.
L’alma s’affligge e non trova conforto.,L’anima si affligge e non trova consolazione.
Io fui per lungo tempo sanza vedere li belli occhi vostri.,Sono stato per molto tempo senza vedere i vostri begli occhi.
Non era l’impresa da pigliarsi a gabbo.,Non era un'impresa da prendere alla leggera.
Però che più non si muova la penna.,Perché la penna non si muova più.
E’ mi par che ‘l tempo si rincorra.,E mi sembra che il tempo corra veloce.
Veggio l’onore che non perde mai.,Vedo l'onore che non svanisce mai.
A ciò che l’animo mio s’acqueti.,Affinché il mio animo trovi pace.
Or sì che tu se’ quel Virgilio e quella fonte.,Allora tu sei proprio Virgilio e quella fonte di saggezza.
Li occhi porta la mia donna sovra lor gloria.,La mia donna porta negli occhi la loro gloria.
Deh peregrini che pensosi andate.,Oh pellegrini che camminate pensierosi.
L’alma s’affligge e non trova conforto.,L’anima si affligge e non trova consolazione.
Io fui per lungo tempo sanza vedere li belli occhi vostri.,Sono stato per molto tempo senza vedere i vostri begli occhi.
Non era l’impresa da pigliarsi a gabbo.,Non era un'impresa da prendere alla leggera.
Però che più non si muova la penna.,Perché la penna non si muova più.
E’ mi par che ‘l tempo si rincorra.,E mi sembra che il tempo corra veloce.
Veggio l’onore che non perde mai.,Vedo l'onore che non svanisce mai.
A ciò che l’animo mio s’acqueti.,Affinché il mio animo trovi pace.
Or sì che tu se’ quel Virgilio e quella fonte.,Allora tu sei proprio Virgilio e quella fonte di saggezza.
Li occhi porta la mia donna sovra lor gloria.,La mia donna porta negli occhi la loro gloria.
Deh peregrini che pensosi andate.,Oh pellegrini che camminate pensierosi.
L’alma s’affligge e non trova conforto.,L’anima si affligge e non trova consolazione.
Io fui per lungo tempo sanza vedere li belli occhi vostri.,Sono stato per molto tempo senza vedere i vostri begli occhi.
Non era l’impresa da pigliarsi a gabbo.,Non era un'impresa da prendere alla leggera.
Però che più non si muova la penna.,Perché la penna non si muova più.
E’ mi par che ‘l tempo si rincorra.,E mi sembra che il tempo corra veloce.
Veggio l’onore che non perde mai.,Vedo l'onore che non svanisce mai.
A ciò che l’animo mio s’acqueti.,Affinché il mio animo trovi pace.
Or sì che tu se’ quel Virgilio e quella fonte.,Allora tu sei proprio Virgilio e quella fonte di saggezza.
Li occhi porta la mia donna sovra lor gloria.,La mia donna porta negli occhi la loro gloria.
Deh peregrini che pensosi andate.,Oh pellegrini che camminate pensierosi.
L’alma s’affligge e non trova conforto.,L’anima si affligge e non trova consolazione.
Io fui per lungo tempo sanza vedere li belli occhi vostri.,Sono stato per molto tempo senza vedere i vostri begli occhi.
Non era l’impresa da pigliarsi a gabbo.,Non era un'impresa da prendere alla leggera.
Però che più non si muova la penna.,Perché la penna non si muova più.
E’ mi par che ‘l tempo si rincorra.,E mi sembra che il tempo corra veloce.
Veggio l’onore che non perde mai.,Vedo l'onore che non svanisce mai.
A ciò che l’animo mio s’acqueti.,Affinché il mio animo trovi pace.
Or sì che tu se’ quel Virgilio e quella fonte.,Allora tu sei proprio Virgilio e quella fonte di saggezza.
Li occhi porta la mia donna sovra lor gloria.,La mia donna porta negli occhi la loro gloria.
Deh peregrini che pensosi andate.,Oh pellegrini che camminate pensierosi.
L’alma s’affligge e non trova conforto.,L’anima si affligge e non trova consolazione.
Io fui per lungo tempo sanza vedere li belli occhi vostri.,Sono stato per molto tempo senza vedere i vostri begli occhi.
Non era l’impresa da pigliarsi a gabbo.,Non era un'impresa da prendere alla leggera.
Però che più non si muova la penna.,Perché la penna non si muova più.
E’ mi par che ‘l tempo si rincorra.,E mi sembra che il tempo corra veloce.
Veggio l’onore che non perde mai.,Vedo l'onore che non svanisce mai.
A ciò che l’animo mio s’acqueti.,Affinché il mio animo trovi pace.
Or sì che tu se’ quel Virgilio e quella fonte.,Allora tu sei proprio Virgilio e quella fonte di saggezza.
Li occhi porta la mia donna sovra lor gloria.,La mia donna porta negli occhi la loro gloria.
Deh peregrini che pensosi andate.,Oh pellegrini che camminate pensierosi.
L’alma s’affligge e non trova conforto.,L’anima si affligge e non trova consolazione.
Io fui per lungo tempo sanza vedere li belli occhi vostri.,Sono stato per molto tempo senza vedere i vostri begli occhi.
Non era l’impresa da pigliarsi a gabbo.,Non era un'impresa da prendere alla leggera.
Però che più non si muova la penna.,Perché la penna non si muova più.
E’ mi par che ‘l tempo si rincorra.,E mi sembra che il tempo corra veloce.
Veggio l’onore che non perde mai.,Vedo l'onore che non svanisce mai.
A ciò che l’animo mio s’acqueti.,Affinché il mio animo trovi pace.
Or sì che tu se’ quel Virgilio e quella fonte.,Allora tu sei proprio Virgilio e quella fonte di saggezza.
Li occhi porta la mia donna sovra lor gloria.,La mia donna porta negli occhi la loro gloria.
Deh peregrini che pensosi andate.,Oh pellegrini che camminate pensierosi.
L’alma s’affligge e non trova conforto.,L’anima si affligge e non trova consolazione.
"In quella parte del libro de la mia memoria dinanzi a la quale poco si potrebbe leggere, si trova una rubrica la quale dice: Incipit vita nova.","In quella parte del libro della mia memoria, dove si può leggere poco, si trova un titolo che dice: Inizia una vita nuova."
"Nel mezzo del cammin di nostra vita mi ritrovai per una selva oscura, ché la diritta via era smarrita.","A metà del cammino della nostra vita mi ritrovai in una selva oscura, poiché avevo smarrito la via giusta."
"Amor, ch'al cor gentil ratto s'apprende, prese costui de la bella persona che mi fu tolta; e 'l modo ancor m'offende.","Amore, che si accende rapidamente in un cuore gentile, prese costui per la bellezza della donna che mi fu tolta; e ancora il modo in cui accadde mi ferisce."
"Poi che 'l maestro mio mi ebbe veduto tanto attento, disse: Dentro da quei fuochi son li spiriti; ciascun s'infiamma di quel ch'in lui è acceso.","Quando il mio maestro mi vide così attento, disse: Dentro quei fuochi ci sono gli spiriti; ognuno è infiammato da ciò che lo brucia interiormente."
"La gloria di colui che tutto move per l'universo penetra, e risplende in una parte più e meno altrove.","La gloria di colui che muove tutto penetra l'universo, e risplende in alcune parti più e in altre meno."
"In quella parte del libro de la mia memoria dinanzi a la quale poco si potrebbe leggere, si trova una rubrica la quale dice: Incipit vita nova.","In quella parte del libro della mia memoria, dove si può leggere poco, si trova un titolo che dice: Inizia una vita nuova."
"Nel mezzo del cammin di nostra vita mi ritrovai per una selva oscura, ché la diritta via era smarrita.","A metà del cammino della nostra vita mi ritrovai in una selva oscura, poiché avevo smarrito la via giusta."
"Amor, ch'al cor gentil ratto s'apprende, prese costui de la bella persona che mi fu tolta; e 'l modo ancor m'offende.","Amore, che si accende rapidamente in un cuore gentile, prese costui per la bellezza della donna che mi fu tolta; e ancora il modo in cui accadde mi ferisce."
"Poi che 'l maestro mio mi ebbe veduto tanto attento, disse: Dentro da quei fuochi son li spiriti; ciascun s'infiamma di quel ch'in lui è acceso.","Quando il mio maestro mi vide così attento, disse: Dentro quei fuochi ci sono gli spiriti; ognuno è infiammato da ciò che lo brucia interiormente."
"La gloria di colui che tutto move per l'universo penetra, e risplende in una parte più e meno altrove.","La gloria di colui che muove tutto penetra l'universo, e risplende in alcune parti più e in altre meno."
"In quella parte del libro de la mia memoria dinanzi a la quale poco si potrebbe leggere, si trova una rubrica la quale dice: Incipit vita nova.","In quella parte del libro della mia memoria, dove si può leggere poco, si trova un titolo che dice: Inizia una vita nuova."
"Nel mezzo del cammin di nostra vita mi ritrovai per una selva oscura, ché la diritta via era smarrita.","A metà del cammino della nostra vita mi ritrovai in una selva oscura, poiché avevo smarrito la via giusta."
"Amor, ch'al cor gentil ratto s'apprende, prese costui de la bella persona che mi fu tolta; e 'l modo ancor m'offende.","Amore, che si accende rapidamente in un cuore gentile, prese costui per la bellezza della donna che mi fu tolta; e ancora il modo in cui accadde mi ferisce."
"Poi che 'l maestro mio mi ebbe veduto tanto attento, disse: Dentro da quei fuochi son li spiriti; ciascun s'infiamma di quel ch'in lui è acceso.","Quando il mio maestro mi vide così attento, disse: Dentro quei fuochi ci sono gli spiriti; ognuno è infiammato da ciò che lo brucia interiormente."
"La gloria di colui che tutto move per l'universo penetra, e risplende in una parte più e meno altrove.","La gloria di colui che muove tutto penetra l'universo, e risplende in alcune parti più e in altre meno."
"In quella parte del libro de la mia memoria dinanzi a la quale poco si potrebbe leggere, si trova una rubrica la quale dice: Incipit vita nova.","In quella parte del libro della mia memoria, dove si può leggere poco, si trova un titolo che dice: Inizia una vita nuova."
"Nel mezzo del cammin di nostra vita mi ritrovai per una selva oscura, ché la diritta via era smarrita.","A metà del cammino della nostra vita mi ritrovai in una selva oscura, poiché avevo smarrito la via giusta."
"Amor, ch'al cor gentil ratto s'apprende, prese costui de la bella persona che mi fu tolta; e 'l modo ancor m'offende.","Amore, che si accende rapidamente in un cuore gentile, prese costui per la bellezza della donna che mi fu tolta; e ancora il modo in cui accadde mi ferisce."
"Poi che 'l maestro mio mi ebbe veduto tanto attento, disse: Dentro da quei fuochi son li spiriti; ciascun s'infiamma di quel ch'in lui è acceso.","Quando il mio maestro mi vide così attento, disse: Dentro quei fuochi ci sono gli spiriti; ognuno è infiammato da ciò che lo brucia interiormente."
"La gloria di colui che tutto move per l'universo penetra, e risplende in una parte più e meno altrove.","La gloria di colui che muove tutto penetra l'universo, e risplende in alcune parti più e in altre meno."
"In quella parte del libro de la mia memoria dinanzi a la quale poco si potrebbe leggere, si trova una rubrica la quale dice: Incipit vita nova.","In quella parte del libro della mia memoria, dove si può leggere poco, si trova un titolo che dice: Inizia una vita nuova."
"Nel mezzo del cammin di nostra vita mi ritrovai per una selva oscura, ché la diritta via era smarrita.","A metà del cammino della nostra vita mi ritrovai in una selva oscura, poiché avevo smarrito la via giusta."
"Amor, ch'al cor gentil ratto s'apprende, prese costui de la bella persona che mi fu tolta; e 'l modo ancor m'offende.","Amore, che si accende rapidamente in un cuore gentile, prese costui per la bellezza della donna che mi fu tolta; e ancora il modo in cui accadde mi ferisce."
"Poi che 'l maestro mio mi ebbe veduto tanto attento, disse: Dentro da quei fuochi son li spiriti; ciascun s'infiamma di quel ch'in lui è acceso.","Quando il mio maestro mi vide così attento, disse: Dentro quei fuochi ci sono gli spiriti; ognuno è infiammato da ciò che lo brucia interiormente."
"La gloria di colui che tutto move per l'universo penetra, e risplende in una parte più e meno altrove.","La gloria di colui che muove tutto penetra l'universo, e risplende in alcune parti più e in altre meno."
"In quella parte del libro de la mia memoria dinanzi a la quale poco si potrebbe leggere, si trova una rubrica la quale dice: Incipit vita nova.","In quella parte del libro della mia memoria, dove si può leggere poco, si trova un titolo che dice: Inizia una vita nuova."
"Nel mezzo del cammin di nostra vita mi ritrovai per una selva oscura, ché la diritta via era smarrita.","A metà del cammino della nostra vita mi ritrovai in una selva oscura, poiché avevo smarrito la via giusta."
"Amor, ch'al cor gentil ratto s'apprende, prese costui de la bella persona che mi fu tolta; e 'l modo ancor m'offende.","Amore, che si accende rapidamente in un cuore gentile, prese costui per la bellezza della donna che mi fu tolta; e ancora il modo in cui accadde mi ferisce."
"Poi che 'l maestro mio mi ebbe veduto tanto attento, disse: Dentro da quei fuochi son li spiriti; ciascun s'infiamma di quel ch'in lui è acceso.","Quando il mio maestro mi vide così attento, disse: Dentro quei fuochi ci sono gli spiriti; ognuno è infiammato da ciò che lo brucia interiormente."
"La gloria di colui che tutto move per l'universo penetra, e risplende in una parte più e meno altrove.","La gloria di colui che muove tutto penetra l'universo, e risplende in alcune parti più e in altre meno."
"In quella parte del libro de la mia memoria dinanzi a la quale poco si potrebbe leggere, si trova una rubrica la quale dice: Incipit vita nova.","In quella parte del libro della mia memoria, dove si può leggere poco, si trova un titolo che dice: Inizia una vita nuova."
"Nel mezzo del cammin di nostra vita mi ritrovai per una selva oscura, ché la diritta via era smarrita.","A metà del cammino della nostra vita mi ritrovai in una selva oscura, poiché avevo smarrito la via giusta."
"Amor, ch'al cor gentil ratto s'apprende, prese costui de la bella persona che mi fu tolta; e 'l modo ancor m'offende.","Amore, che si accende rapidamente in un cuore gentile, prese costui per la bellezza della donna che mi fu tolta; e ancora il modo in cui accadde mi ferisce."
"Poi che 'l maestro mio mi ebbe veduto tanto attento, disse: Dentro da quei fuochi son li spiriti; ciascun s'infiamma di quel ch'in lui è acceso.","Quando il mio maestro mi vide così attento, disse: Dentro quei fuochi ci sono gli spiriti; ognuno è infiammato da ciò che lo brucia interiormente."
"La gloria di colui che tutto move per l'universo penetra, e risplende in una parte più e meno altrove.","La gloria di colui che muove tutto penetra l'universo, e risplende in alcune parti più e in altre meno."
"In quella parte del libro de la mia memoria dinanzi a la quale poco si potrebbe leggere, si trova una rubrica la quale dice: Incipit vita nova.","In quella parte del libro della mia memoria, dove si può leggere poco, si trova un titolo che dice: Inizia una vita nuova."
"Nel mezzo del cammin di nostra vita mi ritrovai per una selva oscura, ché la diritta via era smarrita.","A metà del cammino della nostra vita mi ritrovai in una selva oscura, poiché avevo smarrito la via giusta."
"Amor, ch'al cor gentil ratto s'apprende, prese costui de la bella persona che mi fu tolta; e 'l modo ancor m'offende.","Amore, che si accende rapidamente in un cuore gentile, prese costui per la bellezza della donna che mi fu tolta; e ancora il modo in cui accadde mi ferisce."
"Poi che 'l maestro mio mi ebbe veduto tanto attento, disse: Dentro da quei fuochi son li spiriti; ciascun s'infiamma di quel ch'in lui è acceso.","Quando il mio maestro mi vide così attento, disse: Dentro quei fuochi ci sono gli spiriti; ognuno è infiammato da ciò che lo brucia interiormente."
"La gloria di colui che tutto move per l'universo penetra, e risplende in una parte più e meno altrove.","La gloria di colui che muove tutto penetra l'universo, e risplende in alcune parti più e in altre meno."
"In quella parte del libro de la mia memoria dinanzi a la quale poco si potrebbe leggere, si trova una rubrica la quale dice: Incipit vita nova.","In quella parte del libro della mia memoria, dove si può leggere poco, si trova un titolo che dice: Inizia una vita nuova."
"Nel mezzo del cammin di nostra vita mi ritrovai per una selva oscura, ché la diritta via era smarrita.","A metà del cammino della nostra vita mi ritrovai in una selva oscura, poiché avevo smarrito la via giusta."
"Amor, ch'al cor gentil ratto s'apprende, prese costui de la bella persona che mi fu tolta; e 'l modo ancor m'offende.","Amore, che si accende rapidamente in un cuore gentile, prese costui per la bellezza della donna che mi fu tolta; e ancora il modo in cui accadde mi ferisce."
"Poi che 'l maestro mio mi ebbe veduto tanto attento, disse: Dentro da quei fuochi son li spiriti; ciascun s'infiamma di quel ch'in lui è acceso.","Quando il mio maestro mi vide così attento, disse: Dentro quei fuochi ci sono gli spiriti; ognuno è infiammato da ciò che lo brucia interiormente."
"La gloria di colui che tutto move per l'universo penetra, e risplende in una parte più e meno altrove.","La gloria di colui che muove tutto penetra l'universo, e risplende in alcune parti più e in altre meno."
"In quella parte del libro de la mia memoria dinanzi a la quale poco si potrebbe leggere, si trova una rubrica la quale dice: Incipit vita nova.","In quella parte del libro della mia memoria, dove si può leggere poco, si trova un titolo che dice: Inizia una vita nuova."
"Nel mezzo del cammin di nostra vita mi ritrovai per una selva oscura, ché la diritta via era smarrita.","A metà del cammino della nostra vita mi ritrovai in una selva oscura, poiché avevo smarrito la via giusta."
"Amor, ch'al cor gentil ratto s'apprende, prese costui de la bella persona che mi fu tolta; e 'l modo ancor m'offende.","Amore, che si accende rapidamente in un cuore gentile, prese costui per la bellezza della donna che mi fu tolta; e ancora il modo in cui accadde mi ferisce."
"Poi che 'l maestro mio mi ebbe veduto tanto attento, disse: Dentro da quei fuochi son li spiriti; ciascun s'infiamma di quel ch'in lui è acceso.","Quando il mio maestro mi vide così attento, disse: Dentro quei fuochi ci sono gli spiriti; ognuno è infiammato da ciò che lo brucia interiormente."
"La gloria di colui che tutto move per l'universo penetra, e risplende in una parte più e meno altrove.","La gloria di colui che muove tutto penetra l'universo, e risplende in alcune parti più e in altre meno."
